X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.14,32602,0.14,40420,0.14,27673,0.14,78444,0.14,76058,0.14,81275,0.14,94747,0.14,79011,0.14,34519,0.14,37425,0.14,41671,0.14,69656,0.14,62276,0.14,64951,0.14,75635,0.14,64851
0.142,39136,0.142,46875,0.142,31281,0.142,85545,0.142,82900,0.142,89535,0.142,103273,0.142,87296,0.142,40643,0.142,42660,0.142,47733,0.142,77431,0.142,69709,0.142,72043,0.142,83565,0.142,71874
0.143,46058,0.143,53499,0.143,35110,0.143,92767,0.143,90056,0.143,97965,0.143,111967,0.143,95511,0.143,47299,0.143,47994,0.143,54121,0.143,85840,0.143,77609,0.143,79464,0.143,91769,0.143,78808
0.145,53368,0.145,60086,0.145,38961,0.145,100357,0.145,97585,0.145,106567,0.145,120991,0.145,103674,0.145,54513,0.145,53513,0.145,60507,0.145,94364,0.145,85753,0.145,87313,0.145,100177,0.145,86229
0.147,60750,0.147,66736,0.147,43172,0.147,108000,0.147,104885,0.147,115399,0.147,129980,0.147,112135,0.147,61692,0.147,59379,0.147,67176,0.147,103147,0.147,94430,0.147,95540,0.147,108955,0.147,94094
0.148,68109,0.148,73800,0.148,47541,0.148,115984,0.148,112383,0.148,124184,0.148,139052,0.148,120750,0.148,69185,0.148,65171,0.148,74260,0.148,111824,0.148,103238,0.148,104092,0.148,117511,0.148,102126
0.15,75695,0.15,80691,0.15,52193,0.15,124135,0.15,119828,0.15,132933,0.15,148251,0.15,129363,0.15,76787,0.15,71142,0.15,81706,0.15,120959,0.15,111985,0.15,112793,0.15,126236,0.15,110277
0.152,83393,0.152,87952,0.152,56978,0.152,132508,0.152,127177,0.152,141781,0.152,157310,0.152,138100,0.152,84828,0.152,77473,0.152,89280,0.152,129870,0.152,120656,0.152,121594,0.152,134932,0.152,118784
0.153,91309,0.153,95485,0.153,62101,0.153,140877,0.153,134263,0.153,150528,0.153,166149,0.153,147104,0.153,92972,0.153,83839,0.153,97297,0.153,138886,0.153,129566,0.153,130301,0.153,143719,0.153,127481
0.155,99794,0.155,103388,0.155,67495,0.155,149450,0.155,141576,0.155,158949,0.155,174772,0.155,156125,0.155,101618,0.155,90254,0.155,105602,0.155,148117,0.155,138267,0.155,138893,0.155,152289,0.155,136091
0.157,108497,0.157,111392,0.157,73011,0.157,157872,0.157,148943,0.157,167332,0.157,183073,0.157,165113,0.157,110078,0.157,96935,0.157,113932,0.157,157491,0.157,146988,0.157,147452,0.157,160863,0.157,144827
0.158,117204,0.158,119803,0.158,78814,0.158,166013,0.158,156123,0.158,175689,0.158,190971,0.158,174054,0.158,118879,0.158,103676,0.158,122355,0.158,166835,0.158,155596,0.158,156046,0.158,169002,0.158,153635
0.16,126152,0.16,128442,0.16,85028,0.16,173987,0.16,163171,0.16,183683,0.16,198771,0.16,182480,0.16,127538,0.16,110308,0.16,130845,0.16,176202,0.16,164277,0.16,164451,0.16,176950,0.16,162454
0.162,135149,0.162,137048,0.162,91369,0.162,181587,0.162,170086,0.162,191151,0.162,205981,0.162,190575,0.162,136142,0.162,116967,0.162,139240,0.162,185313,0.162,172510,0.162,172640,0.162,184609,0.162,170893
0.163,144056,0.163,145677,0.163,97753,0.163,188686,0.163,176644,0.163,198628,0.163,212698,0.163,197945,0.163,144755,0.163,123435,0.163,147315,0.163,193828,0.163,180585,0.163,180588,0.163,191849,0.163,179086
0.165,152938,0.165,154287,0.165,104531,0.165,195092,0.165,182668,0.165,205407,0.165,218951,0.165,204812,0.165,153581,0.165,129799,0.165,155395,0.165,201943,0.165,188194,0.165,187773,0.165,198796,0.165,186730
0.167,161957,0.167,162658,0.167,111527,0.167,201090,0.167,188261,0.167,211499,0.167,224584,0.167,211067,0.167,162311,0.167,136169,0.167,163063,0.167,209243,0.167,195482,0.167,194252,0.167,205246,0.167,193952
0.168,170662,0.168,170631,0.168,118400,0.168,206156,0.168,193178,0.168,216993,0.168,229064,0.168,217080,0.168,170978,0.168,142351,0.168,170311,0.168,216037,0.168,202272,0.168,200036,0.168,211176,0.168,200540
0.17,179210,0.17,178283,0.17,125533,0.17,210389,0.17,197405,0.17,221949,0.17,232692,0.17,222226,0.17,179709,0.17,148517,0.17,177216,0.17,222237,0.17,208605,0.17,205298,0.17,216274,0.17,206504
0.172,187393,0.172,185290,0.172,132686,0.172,213624,0.172,200859,0.172,225737,0.172,235349,0.172,226639,0.172,187815,0.172,154664,0.172,183850,0.172,227850,0.172,213998,0.172,209583,0.172,220973,0.172,211750
0.173,195432,0.173,191584,0.173,139694,0.173,215921,0.173,203462,0.173,228990,0.173,236695,0.173,230034,0.173,195587,0.173,160551,0.173,189786,0.173,232641,0.173,218533,0.173,213268,0.173,224561,0.173,216249
